Date,DAPR,TVL
2020-05-05T00:00:00.000Z,4.47%,1.78
2020-05-06T00:00:00.000Z,0.1%,1.98
2020-05-07T00:00:00.000Z,0%,2
2020-05-08T00:00:00.000Z,0%,3.06
2020-05-09T00:00:00.000Z,0%,13.09
2020-05-10T00:00:00.000Z,0%,12.75
2020-05-11T00:00:00.000Z,3.41%,12.36
2020-05-12T00:00:00.000Z,27.31%,13.99
2020-05-13T00:00:00.000Z,66.34%,28.14
2020-05-14T00:00:00.000Z,13.93%,36.29
2020-05-15T00:00:00.000Z,177.04%,46.54
2020-05-16T00:00:00.000Z,64.05%,189.27
2020-05-17T00:00:00.000Z,0.08%,213.34
2020-05-18T00:00:00.000Z,4.21%,5.54K
2020-05-19T00:00:00.000Z,52.78%,195.74K
2020-05-20T00:00:00.000Z,17.11%,461.27K
2020-05-21T00:00:00.000Z,45.32%,567.98K
2020-05-22T00:00:00.000Z,19.18%,801.22K
2020-05-23T00:00:00.000Z,12.58%,905.84K
2020-05-24T00:00:00.000Z,24.44%,969.72K
2020-05-25T00:00:00.000Z,8.91%,994.06K
2020-05-26T00:00:00.000Z,10.52%,1.04M
2020-05-27T00:00:00.000Z,7.23%,1.12M
2020-05-28T00:00:00.000Z,13.44%,1.17M
2020-05-29T00:00:00.000Z,14.43%,1.22M
2020-05-30T00:00:00.000Z,14.28%,1.18M
2020-05-31T00:00:00.000Z,17.47%,1.19M
2020-06-01T00:00:00.000Z,13.7%,1.22M
2020-06-02T00:00:00.000Z,19.74%,1.37M
2020-06-03T00:00:00.000Z,10.89%,1.41M
2020-06-04T00:00:00.000Z,11.52%,1.4M
2020-06-05T00:00:00.000Z,10.22%,1.37M
2020-06-06T00:00:00.000Z,16.58%,1.36M
2020-06-07T00:00:00.000Z,11.84%,1.37M
2020-06-08T00:00:00.000Z,14.34%,1.35M
2020-06-09T00:00:00.000Z,18.27%,1.35M
2020-06-10T00:00:00.000Z,27.21%,1.34M
2020-06-11T00:00:00.000Z,24.82%,1.33M
2020-06-12T00:00:00.000Z,24.86%,1.37M
2020-06-13T00:00:00.000Z,15.28%,1.44M
2020-06-14T00:00:00.000Z,13.48%,1.47M
2020-06-15T00:00:00.000Z,38.02%,1.54M
2020-06-16T00:00:00.000Z,29.97%,1.63M
2020-06-17T00:00:00.000Z,27.05%,1.65M
2020-06-18T00:00:00.000Z,55.61%,1.65M
2020-06-19T00:00:00.000Z,64.78%,1.74M
2020-06-20T00:00:00.000Z,54.48%,2.05M
2020-06-21T00:00:00.000Z,80.18%,2.02M
2020-06-22T00:00:00.000Z,99.98%,2.39M
2020-06-23T00:00:00.000Z,76.62%,2.99M
2020-06-24T00:00:00.000Z,74.39%,3.04M
2020-06-25T00:00:00.000Z,70.49%,3.1M
2020-06-26T00:00:00.000Z,68.55%,3.14M
2020-06-27T00:00:00.000Z,63.02%,3.21M
2020-06-28T00:00:00.000Z,40.29%,3.26M
2020-06-29T00:00:00.000Z,41.85%,3.55M
2020-06-30T00:00:00.000Z,45.9%,3.51M
2020-07-01T00:00:00.000Z,52.42%,3.22M
2020-07-02T00:00:00.000Z,61.53%,3.49M
2020-07-03T00:00:00.000Z,52.32%,3.74M
2020-07-04T00:00:00.000Z,33.99%,4.02M
2020-07-05T00:00:00.000Z,30.13%,4.11M
2020-07-06T00:00:00.000Z,41.72%,4.22M
2020-07-07T00:00:00.000Z,32.44%,4.58M
2020-07-08T00:00:00.000Z,31.66%,5.14M
2020-07-09T00:00:00.000Z,33.27%,5.81M
2020-07-10T00:00:00.000Z,23.47%,6.24M
2020-07-11T00:00:00.000Z,20.8%,6.69M
2020-07-12T00:00:00.000Z,32.45%,6.73M
2020-07-13T00:00:00.000Z,64.22%,6.71M
2020-07-14T00:00:00.000Z,31.09%,6.76M
2020-07-15T00:00:00.000Z,41.33%,7.13M
2020-07-16T00:00:00.000Z,32.51%,8.67M
2020-07-17T00:00:00.000Z,34.83%,8.65M
2020-07-18T00:00:00.000Z,61.94%,8.79M
2020-07-19T00:00:00.000Z,53.56%,9.08M
2020-07-20T00:00:00.000Z,65.14%,9.27M
2020-07-21T00:00:00.000Z,52.83%,9.34M
2020-07-22T00:00:00.000Z,55.86%,9.1M
2020-07-23T00:00:00.000Z,87.21%,9.2M
2020-07-24T00:00:00.000Z,87.87%,8.83M
2020-07-25T00:00:00.000Z,107.5%,8.75M
2020-07-26T00:00:00.000Z,110.18%,9.19M
2020-07-27T00:00:00.000Z,164.14%,8.03M
2020-07-28T00:00:00.000Z,91.87%,11.13M
2020-07-29T00:00:00.000Z,83.88%,11.42M
2020-07-30T00:00:00.000Z,96.94%,11.89M
2020-07-31T00:00:00.000Z,76.29%,13.06M
2020-08-01T00:00:00.000Z,78.35%,13.72M
2020-08-02T00:00:00.000Z,113.94%,13.67M
2020-08-03T00:00:00.000Z,75.36%,14.02M
2020-08-04T00:00:00.000Z,54.94%,14.9M
2020-08-05T00:00:00.000Z,46.29%,15.54M
2020-08-06T00:00:00.000Z,47.17%,16.27M
2020-08-07T00:00:00.000Z,67.23%,16.16M
2020-08-08T00:00:00.000Z,58.98%,16.17M
2020-08-09T00:00:00.000Z,63.19%,16.37M
2020-08-10T00:00:00.000Z,152.33%,18.77M
2020-08-11T00:00:00.000Z,85.45%,19.92M
2020-08-12T00:00:00.000Z,133.19%,19.86M
2020-08-13T00:00:00.000Z,134.14%,23.37M
2020-08-14T00:00:00.000Z,115.16%,22M
2020-08-15T00:00:00.000Z,74.16%,19.76M
2020-08-16T00:00:00.000Z,69.07%,19.13M
2020-08-17T00:00:00.000Z,104.54%,18.74M
2020-08-18T00:00:00.000Z,100.18%,19.46M
2020-08-19T00:00:00.000Z,111.16%,19.7M
2020-08-20T00:00:00.000Z,98.23%,19.67M
2020-08-21T00:00:00.000Z,103.52%,19.62M
2020-08-22T00:00:00.000Z,70.13%,20.61M
2020-08-23T00:00:00.000Z,45.96%,22.25M
2020-08-24T00:00:00.000Z,57.72%,21.08M
2020-08-25T00:00:00.000Z,80.71%,20.17M
2020-08-26T00:00:00.000Z,57.45%,21.53M
2020-08-27T00:00:00.000Z,58.61%,23.04M
2020-08-28T00:00:00.000Z,73.79%,27.58M
2020-08-29T00:00:00.000Z,41.82%,50.53M
2020-08-30T00:00:00.000Z,66.36%,66.94M
2020-08-31T00:00:00.000Z,42.06%,114.16M
2020-09-01T00:00:00.000Z,38.75%,174.8M
2020-09-02T00:00:00.000Z,52.94%,211.09M
2020-09-03T00:00:00.000Z,42.41%,231.1M
2020-09-04T00:00:00.000Z,30.61%,240.55M
2020-09-05T00:00:00.000Z,68.81%,211.26M
2020-09-06T00:00:00.000Z,36.96%,192.83M
2020-09-07T00:00:00.000Z,22.77%,254.36M
2020-09-08T00:00:00.000Z,24.62%,211.2M
2020-09-09T00:00:00.000Z,40.56%,167.87M
2020-09-10T00:00:00.000Z,114.35%,56.9M
2020-09-11T00:00:00.000Z,54.71%,87.4M
2020-09-12T00:00:00.000Z,59.85%,61.21M
